"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"IFITM1",1.00657932441413e-11,1.00292459085647,0.512,0.135,1.42994658826271e-07
"PTPN4",3.15471711282573e-15,0.993293006168299,0.415,0.074,4.48159113048023e-11
"ADGRG1",2.43451180759451e-41,0.98448595383137,0.293,0.011,3.45846747386876e-37
"PIK3R1",1.08077720627995e-08,0.97919271103432,0.683,0.325,0.000153535209924129
"CLDND1",5.51526922447054e-10,0.974848400335395,0.561,0.185,7.83499146028286e-06
"TRDC",1.72710513169369e-30,0.974340771879006,0.244,0.011,2.45352555008405e-26
"IL2RB",8.92134750600336e-44,0.968223218122474,0.341,0.015,1.26736662670284e-39
"ABHD17A",6.97382633917311e-12,0.965957313214412,0.829,0.351,9.90701769742932e-08
"CD81",3.15348647592859e-11,0.953391754981204,0.659,0.228,4.47984288770416e-07
"ODF2L",1.22308031739282e-15,0.938490482240577,0.463,0.088,1.73750789888825e-11
"ITM2A",3.04471913179183e-20,0.936288963778743,0.268,0.024,4.32532799862347e-16
"PCSK7",3.53884210390067e-11,0.933673114654534,0.756,0.297,5.0272790928013e-07
"ITK",1.73364438342788e-32,0.928138530789813,0.317,0.019,2.46281521109765e-28
"CEP78",3.81350759444456e-14,0.927295718191752,0.341,0.054,5.41746888866794e-10
"FCRL6",6.07256908187909e-54,0.921775955466104,0.317,0.009,8.62669163771743e-50
"CCL4",1.1637364969824e-33,0.89615884867929,0.341,0.021,1.6532040676132e-29
"TENT5C",3.5409685690659e-37,0.894505900055899,0.293,0.013,5.03029994921501e-33
"MLLT6",4.00445113317042e-14,0.892827922405748,0.61,0.149,5.6887232797819e-10
"TC2N",4.63741790211925e-19,0.892071772394696,0.293,0.03,6.5879158717506e-15
"FKBP11",1.14401074699937e-15,0.890182154612706,0.366,0.057,1.62518166718731e-11
"CD69",6.6585382217449e-14,0.888365827439665,0.39,0.068,9.4591193978108e-10
"LBH",9.51072362904768e-26,0.883646354574525,0.293,0.021,1.35109339874251e-21
"CD6",2.42175121076023e-26,0.875277642243541,0.317,0.024,3.44033977000598e-22
"FCMR",1.69086267667852e-21,0.856233828108377,0.317,0.031,2.40203951848951e-17
"PRKACB",4.99657282987283e-12,0.837384387943069,0.463,0.108,7.09813136211734e-08
"COL6A2",3.56763192240533e-45,0.825965465405963,0.268,0.008,5.06817790896901e-41
"TERF1",5.57600748144421e-08,0.825150133054935,0.488,0.165,0.000792127622813964
"SPON2",2.90508629881418e-14,0.822532306700762,0.244,0.028,4.12696559609542e-10
"ZNF331",5.43257399117719e-12,0.816932245790171,0.341,0.063,7.71751461186631e-08
"CDC25B",3.88146093593483e-16,0.811528694777819,0.341,0.048,5.51400340558902e-12
"NOSIP",7.79113198269338e-07,0.80647690893986,0.512,0.2,0.0110680820946142
"ACAP1",1.20652371267821e-10,0.80325007088226,0.537,0.152,1.71398758623067e-06
"NOP58",4.61687796346098e-11,0.800051500729671,0.561,0.157,6.55873683489267e-07
