p_val,avg_log2FC,pct.1,pct.2,p_val_adj
YPEL1,8.29154482689585e-132,0.92256974331164,0.302,0.06,1.17789685810883e-127
YES1,5.0409764235053e-126,0.921061672617934,0.273,0.052,7.16121110723163e-122
C12orf75,7.17742548889602e-111,0.920431386844889,0.679,0.305,1.01962506495257e-106
ACTN4,1.12341245091131e-110,0.918664355296124,0.676,0.336,1.59591972776461e-106
IFITM2,1.04077953533814e-253,0.91710728789316,0.983,0.794,1.47853140790136e-249
SLFN13,1.38088415544112e-109,0.915762580933358,0.331,0.084,1.96168403121965e-105
TGFBR3,2.20279834943517e-105,0.911740837407337,0.444,0.146,3.12929533520761e-101
XCL1,4.89652402488273e-182,0.901938076807263,0.164,0.009,6.95600202974841e-178
RASSF1,2.81941390059609e-88,0.88713669411254,0.519,0.227,4.0052593871868e-84
CTBP2,3.16267511153501e-92,0.886421761224658,0.306,0.089,4.49289626344663e-88
PTPN12,2.32942181339549e-84,0.883040138739614,0.444,0.182,3.30917662810963e-80
GNPTAB,2.54308738251634e-82,0.878170985127164,0.468,0.198,3.61270993560272e-78
TFDP2,4.79867486068081e-84,0.875958373630376,0.493,0.211,6.81699750708316e-80
DDIT4,1.07708496827158e-79,0.869495939599882,0.622,0.332,1.53010690592661e-75
TNFRSF18,5.46363929311672e-151,0.867151222270454,0.195,0.02,7.76164597980161e-147
ARL4C,5.92883298770603e-175,0.8589816765555,0.952,0.638,8.42250014233518e-171
GNG2,3.17637128049473e-76,0.858264734222298,0.586,0.329,4.51235304107082e-72
MVD,9.16184340922951e-86,0.856189360215044,0.338,0.106,1.30153147471514e-81
ITGAM,6.45381403235578e-92,0.846792080144357,0.393,0.132,9.16828821436462e-88
CD300A,3.9644633299985e-67,0.844248874155402,0.334,0.128,5.63191660659587e-63
IDI1,1.01962933642883e-71,0.83644860140486,0.525,0.266,1.44848543533079e-67
RAB5IF,2.93962942438415e-67,0.833652113701524,0.527,0.284,4.17603756028013e-63
AOAH,2.97488061688737e-74,0.830635326988639,0.489,0.222,4.2261154043502e-70
ITGB2,7.19477970850997e-195,0.829241673991453,0.97,0.724,1.02209040539093e-190
ALOX5AP,4.23900801507326e-61,0.827511845295684,0.524,0.285,6.02193478621308e-57
CREM,3.9130426808395e-60,0.827213358433577,0.411,0.184,5.55886843240059e-56
