p_val,avg_log2FC,pct.1,pct.2,p_val_adj
C1orf56,2.31400625282415e-09,0.849273637290143,0.902,0.491,3.45920794734682e-05
CD69,9.49453420634436e-27,0.840267247238692,0.537,0.072,1.41933791850642e-22
ISG20,6.90182960274756e-17,0.833697736839236,0.732,0.214,1.03175450731473e-12
SH2D1A,3.97519002563817e-80,0.833617999376546,0.585,0.024,5.94251156932651e-76
CLIC3,6.65132223706345e-29,0.826453404584497,0.366,0.03,9.94306161218615e-25
OPTN,6.45602110855388e-57,0.823593969611273,0.659,0.047,9.65110595517719e-53
PTPN4,2.33951805777404e-22,0.82140148037045,0.585,0.103,3.49734554456641e-18
GCC2,9.67007774879586e-11,0.820630014619776,0.854,0.422,1.44557992266749e-06
NOSIP,2.2698619519195e-09,0.818327356437618,0.707,0.299,3.39321663192446e-05
CLDND1,8.06139002148073e-12,0.809687973235543,0.683,0.223,1.20509719431115e-07
RASGRP1,5.84823408588245e-47,0.796743868818363,0.512,0.035,8.74252513498567e-43
BIN1,3.6456639643179e-27,0.792457251766864,0.634,0.102,5.44990306025883e-23
HOPX,2.091559940937e-33,0.780899291857739,0.39,0.029,3.12667295570673e-29
KLF2,3.36062796588837e-09,0.77732591985439,1,0.716,5.02380274620652e-05
LITAF,1.50382978064928e-08,0.775121871402962,0.976,0.653,0.00022480751390926
ITM2A,2.57644278708873e-41,0.775045206100193,0.488,0.037,3.85152432241895e-37
ZFP36L2,2.48403916042709e-07,0.771161057503343,1,0.853,0.00371339014092245
LDHB,3.10635485879142e-07,0.768085599212399,0.854,0.479,0.00464368987840729
KLRG1,4.46030920495465e-43,0.762351744954965,0.463,0.032,6.6677162304867e-39
C12orf57,5.81082101461867e-12,0.754018123358651,0.878,0.358,8.68659633475346e-08
ATM,1.54861691352651e-08,0.74530654425493,0.902,0.522,0.000231502742403077
SPTBN1,4.8804967961891e-32,0.740943539445862,0.659,0.091,7.29585466062309e-28
TC2N,6.37183224233735e-34,0.738046488139074,0.488,0.046,9.5252520190701e-30
RHOH,1.96861788315061e-47,0.72619746648355,0.561,0.042,2.94288687352185e-43
AAK1,7.80983310500985e-10,0.725782105616426,0.878,0.442,1.16749195086792e-05
MGAT4A,5.29320506561592e-11,0.71789665435239,0.659,0.217,7.91281225258923e-07
ITK,1.1116006477339e-55,0.712497488047772,0.561,0.035,1.66173180829741e-51
FKBP11,7.10440356608892e-29,0.704309827747812,0.585,0.078,1.06203728909463e-24
